ATM_Name,TransactionDate,NoOfWithdrawals,TotalAmtWithdrawn,Weekday,WorkingDay,BranchID
Hollywood Aveneue ATM,2011-04-01,184,557300,Friday,W,
Kingsley Street ATM,2011-04-01,75,336600,Friday,W,
Georgia Street ATM,2011-04-02,31,130500,Saturday,H,
Main Street ATM,2011-04-02,217,776400,Saturday,H,
Genesee Street ATM,2011-04-02,126,555800,Saturday,H,
Hollywood Aveneue ATM,2011-04-02,193,728200,Saturday,H,
Kingsley Street ATM,2011-04-02,71,285100,Saturday,H,
Georgia Street ATM,2011-04-03,56,237800,Sunday,H,
Main Street ATM,2011-04-03,162,445500,Sunday,H,
Genesee Street ATM,2011-04-03,122,580000,Sunday,H,
Hollywood Aveneue ATM,2011-04-03,155,571200,Sunday,H,
Kingsley Street ATM,2011-04-03,82,333000,Sunday,H,
Georgia Street ATM,2011-04-04,20,101000,Monday,W,
Main Street ATM,2011-04-04,178,608500,Monday,W,
Genesee Street ATM,2011-04-04,70,412900,Monday,W,
Hollywood Aveneue ATM,2011-04-04,179,690500,Monday,W,
Kingsley Street ATM,2011-04-04,71,295600,Monday,W,
Georgia Street ATM,2011-04-05,39,202300,Tuesday,W,
Main Street ATM,2011-04-05,189,734200,Tuesday,W,
Genesee Street ATM,2011-04-05,93,406000,Tuesday,W,
Hollywood Aveneue ATM,2011-04-05,239,1013600,Tuesday,W,
Kingsley Street ATM,2011-04-05,99,423500,Tuesday,W,
Georgia Street ATM,2011-04-06,33,115400,Wednesday,W,
Main Street ATM,2011-04-06,194,638500,Wednesday,W,
Genesee Street ATM,2011-04-06,128,696000,Wednesday,W,
Hollywood Aveneue ATM,2011-04-06,245,1007100,Wednesday,W,
Kingsley Street ATM,2011-04-06,106,388700,Wednesday,W,
Georgia Street ATM,2011-04-07,23,109800,Thursday,W,
Main Street ATM,2011-04-07,183,688000,Thursday,W,
Genesee Street ATM,2011-04-07,125,637400,Thursday,W,
Hollywood Aveneue ATM,2011-04-07,217,1028000,Thursday,W,
Kingsley Street ATM,2011-04-07,86,388600,Thursday,W,
Georgia Street ATM,2011-04-08,28,122500,Friday,W,
Main Street ATM,2011-04-08,193,774300,Friday,W,
Genesee Street ATM,2011-04-08,49,209400,Friday,W,
Hollywood Aveneue ATM,2011-04-08,202,914800,Friday,W,
Kingsley Street ATM,2011-04-08,95,373000,Friday,W,
Georgia Street ATM,2011-04-09,42,155600,Saturday,H,
Main Street ATM,2011-04-09,184,602200,Saturday,H,
Genesee Street ATM,2011-04-09,120,550300,Saturday,H,
Hollywood Aveneue ATM,2011-04-09,232,759100,Saturday,H,
Kingsley Street ATM,2011-04-09,91,483600,Saturday,H,
Georgia Street ATM,2011-04-10,42,112700,Sunday,H,
Main Street ATM,2011-04-10,169,442300,Sunday,H,
Genesee Street ATM,2011-04-10,66,350200,Sunday,H,
Hollywood Aveneue ATM,2011-04-10,143,370100,Sunday,H,
Kingsley Street ATM,2011-04-10,58,217800,Sunday,H,
Georgia Street ATM,2011-04-11,41,141300,Monday,W,
Main Street ATM,2011-04-11,227,679100,Monday,W,
Genesee Street ATM,2011-04-11,116,442100,Monday,W,
Hollywood Aveneue ATM,2011-04-11,266,893300,Monday,W,
Kingsley Street ATM,2011-04-11,78,283400,Monday,W,
Georgia Street ATM,2011-04-12,31,111500,Tuesday,H,
Main Street ATM,2011-04-12,180,559200,Tuesday,H,
Genesee Street ATM,2011-04-12,107,479600,Tuesday,H,
Hollywood Aveneue ATM,2011-04-12,204,739500,Tuesday,H,
Kingsley Street ATM,2011-04-12,82,322800,Tuesday,H,
Georgia Street ATM,2011-04-13,56,208500,Wednesday,W,
Main Street ATM,2011-04-13,152,362400,Wednesday,W,
Genesee Street ATM,2011-04-13,56,178400,Wednesday,W,
Hollywood Aveneue ATM,2011-04-13,141,399900,Wednesday,W,
Kingsley Street ATM,2011-04-13,67,268700,Wednesday,W,
Georgia Street ATM,2011-04-14,30,105600,Thursday,H,
Main Street ATM,2011-04-14,92,288700,Thursday,H,
Genesee Street ATM,2011-04-14,79,311800,Thursday,H,
Hollywood Aveneue ATM,2011-04-14,199,727800,Thursday,H,
Kingsley Street ATM,2011-04-14,39,157000,Thursday,H,
Georgia Street ATM,2011-04-15,29,90000,Friday,W,
Main Street ATM,2011-04-15,131,508300,Friday,W,
Genesee Street ATM,2011-04-15,110,531500,Friday,W,
Hollywood Aveneue ATM,2011-04-15,149,428100,Friday,W,
Kingsley Street ATM,2011-04-15,96,468500,Friday,W,
Georgia Street ATM,2011-04-16,25,68100,Saturday,H,
Main Street ATM,2011-04-16,135,515400,Saturday,H,
Genesee Street ATM,2011-04-16,89,456400,Saturday,H,
Hollywood Aveneue ATM,2011-04-16,126,468000,Saturday,H,
Kingsley Street ATM,2011-04-16,79,297900,Saturday,H,
Georgia Street ATM,2011-04-17,38,103000,Sunday,H,
Main Street ATM,2011-04-17,196,538600,Sunday,H,
Genesee Street ATM,2011-04-17,73,268000,Sunday,H,
Hollywood Aveneue ATM,2011-04-17,120,481400,Sunday,H,
Kingsley Street ATM,2011-04-17,69,174500,Sunday,H,
Georgia Street ATM,2011-04-18,32,154000,Monday,W,
Main Street ATM,2011-04-18,122,430500,Monday,W,
Genesee Street ATM,2011-04-18,96,482600,Monday,W,
Hollywood Aveneue ATM,2011-04-18,81,315100,Monday,W,
Kingsley Street ATM,2011-04-18,96,469100,Monday,W,
Georgia Street ATM,2011-04-19,27,92100,Tuesday,W,
Main Street ATM,2011-04-19,197,673500,Tuesday,W,
Genesee Street ATM,2011-04-19,64,217700,Tuesday,W,
Hollywood Aveneue ATM,2011-04-19,100,447600,Tuesday,W,
Kingsley Street ATM,2011-04-19,81,273000,Tuesday,W,
Georgia Street ATM,2011-04-20,40,171400,Wednesday,W,
Main Street ATM,2011-04-20,157,530100,Wednesday,W,
Genesee Street ATM,2011-04-20,82,343500,Wednesday,W,
Hollywood Aveneue ATM,2011-04-20,166,638600,Wednesday,W,
Kingsley Street ATM,2011-04-20,80,305700,Wednesday,W,
Georgia Street ATM,2011-04-21,34,120700,Thursday,W,
Main Street ATM,2011-04-21,121,361600,Thursday,W,
Genesee Street ATM,2011-04-21,53,246700,Thursday,W,
Hollywood Aveneue ATM,2011-04-21,164,742500,Thursday,W,
Kingsley Street ATM,2011-04-21,62,165900,Thursday,W,
Georgia Street ATM,2011-04-22,24,73900,Friday,H,
Main Street ATM,2011-04-22,161,397800,Friday,H,
Genesee Street ATM,2011-04-22,74,262900,Friday,H,
Hollywood Aveneue ATM,2011-04-22,143,536400,Friday,H,
Kingsley Street ATM,2011-04-22,51,173300,Friday,H,
Georgia Street ATM,2011-04-23,35,112300,Saturday,H,
Main Street ATM,2011-04-23,160,552300,Saturday,H,
Genesee Street ATM,2011-04-23,54,212600,Saturday,H,
Hollywood Aveneue ATM,2011-04-23,156,568100,Saturday,H,
Kingsley Street ATM,2011-04-23,75,402500,Saturday,H,
Georgia Street ATM,2011-04-24,36,79900,Sunday,H,
Main Street ATM,2011-04-24,126,278300,Sunday,H,
Genesee Street ATM,2011-04-24,76,325700,Sunday,H,
Hollywood Aveneue ATM,2011-04-24,114,277200,Sunday,H,
Kingsley Street ATM,2011-04-24,52,153700,Sunday,H,
Georgia Street ATM,2011-04-25,27,71600,Monday,W,
Main Street ATM,2011-04-25,100,251700,Monday,W,
Genesee Street ATM,2011-04-25,26,55600,Monday,W,
Hollywood Aveneue ATM,2011-04-25,154,462800,Monday,W,
Kingsley Street ATM,2011-04-25,44,246600,Monday,W,
Georgia Street ATM,2011-04-26,17,62100,Tuesday,W,
Main Street ATM,2011-04-26,127,336900,Tuesday,W,
Genesee Street ATM,2011-04-26,78,290300,Tuesday,W,
Hollywood Aveneue ATM,2011-04-26,144,536900,Tuesday,W,
Kingsley Street ATM,2011-04-26,72,335800,Tuesday,W,
Georgia Street ATM,2011-04-27,30,80100,Wednesday,W,
Main Street ATM,2011-04-27,129,402200,Wednesday,W,
Genesee Street ATM,2011-04-27,91,359800,Wednesday,W,
Hollywood Aveneue ATM,2011-04-27,184,766000,Wednesday,W,
Kingsley Street ATM,2011-04-27,73,370400,Wednesday,W,
Georgia Street ATM,2011-04-28,32,77600,Thursday,W,
Main Street ATM,2011-04-28,107,354000,Thursday,W,
Genesee Street ATM,2011-04-28,95,392100,Thursday,W,
Hollywood Aveneue ATM,2011-04-28,157,512900,Thursday,W,
Kingsley Street ATM,2011-04-28,61,270500,Thursday,W,
Georgia Street ATM,2011-04-29,20,86700,Friday,W,
Main Street ATM,2011-04-29,145,382500,Friday,W,
Genesee Street ATM,2011-04-29,86,348700,Friday,W,
Hollywood Aveneue ATM,2011-04-29,183,740200,Friday,W,
Kingsley Street ATM,2011-04-29,77,270700,Friday,W,
Georgia Street ATM,2011-04-30,14,22400,Saturday,H,
Main Street ATM,2011-04-30,200,813600,Saturday,H,
Genesee Street ATM,2011-04-30,125,614900,Saturday,H,
Hollywood Aveneue ATM,2011-04-30,235,1128700,Saturday,H,
Kingsley Street ATM,2011-04-30,65,274900,Saturday,H,
Georgia Street ATM,2011-05-01,23,60200,Sunday,H,
Main Street ATM,2011-05-01,159,636000,Sunday,H,
Genesee Street ATM,2011-05-01,131,468900,Sunday,H,
Hollywood Aveneue ATM,2011-05-01,148,577100,Sunday,H,
Kingsley Street ATM,2011-05-01,52,200300,Sunday,H,
Georgia Street ATM,2011-05-02,23,116500,Monday,W,
Main Street ATM,2011-05-02,96,361600,Monday,W,
Genesee Street ATM,2011-05-02,138,617800,Monday,W,
Hollywood Aveneue ATM,2011-05-02,244,1245600,Monday,W,
Kingsley Street ATM,2011-05-02,93,436200,Monday,W,
Georgia Street ATM,2011-05-03,22,97200,Tuesday,W,
Main Street ATM,2011-05-03,204,891100,Tuesday,W,
Genesee Street ATM,2011-05-03,95,552900,Tuesday,W,
Hollywood Aveneue ATM,2011-05-03,199,870800,Tuesday,W,
Kingsley Street ATM,2011-05-03,77,365300,Tuesday,W,
Georgia Street ATM,2011-05-04,18,52900,Wednesday,W,
Main Street ATM,2011-05-04,160,524100,Wednesday,W,
Genesee Street ATM,2011-05-04,125,634000,Wednesday,W,
Hollywood Aveneue ATM,2011-05-04,212,992200,Wednesday,W,
Kingsley Street ATM,2011-05-04,64,237600,Wednesday,W,
Georgia Street ATM,2011-05-05,32,111200,Thursday,W,
Main Street ATM,2011-05-05,203,730500,Thursday,W,
Genesee Street ATM,2011-05-05,106,563300,Thursday,W,
Hollywood Aveneue ATM,2011-05-05,225,1053100,Thursday,W,
Kingsley Street ATM,2011-05-05,82,336000,Thursday,W,
Georgia Street ATM,2011-05-06,22,117300,Friday,W,
Main Street ATM,2011-05-06,175,653900,Friday,W,
Genesee Street ATM,2011-05-06,113,663000,Friday,W,
Hollywood Aveneue ATM,2011-05-06,214,951900,Friday,W,
Kingsley Street ATM,2011-05-06,106,408100,Friday,W,
Georgia Street ATM,2011-05-07,28,138600,Saturday,H,
Main Street ATM,2011-05-07,167,709400,Saturday,H,
Genesee Street ATM,2011-05-07,116,641300,Saturday,H,
Hollywood Aveneue ATM,2011-05-07,203,1039600,Saturday,H,
Kingsley Street ATM,2011-05-07,59,282700,Saturday,H,
Georgia Street ATM,2011-05-08,31,101000,Sunday,H,
Main Street ATM,2011-05-08,127,526600,Sunday,H,
Genesee Street ATM,2011-05-08,87,332600,Sunday,H,
Hollywood Aveneue ATM,2011-05-08,125,392500,Sunday,H,
Kingsley Street ATM,2011-05-08,35,130900,Sunday,H,
Georgia Street ATM,2011-05-09,29,65600,Monday,W,
Main Street ATM,2011-05-09,157,495800,Monday,W,
Genesee Street ATM,2011-05-09,92,403800,Monday,W,
Hollywood Aveneue ATM,2011-05-09,155,591300,Monday,W,
Kingsley Street ATM,2011-05-09,57,258200,Monday,W,
Georgia Street ATM,2011-05-10,45,204200,Tuesday,W,
Main Street ATM,2011-05-10,174,660600,Tuesday,W,
Genesee Street ATM,2011-05-10,88,364400,Tuesday,W,
Hollywood Aveneue ATM,2011-05-10,152,560100,Tuesday,W,
Kingsley Street ATM,2011-05-10,52,260700,Tuesday,W,
Georgia Street ATM,2011-05-11,31,114900,Wednesday,W,
Main Street ATM,2011-05-11,200,789100,Wednesday,W,
Genesee Street ATM,2011-05-11,103,489700,Wednesday,W,
Hollywood Aveneue ATM,2011-05-11,209,837300,Wednesday,W,
Kingsley Street ATM,2011-05-11,63,287700,Wednesday,W,
Georgia Street ATM,2011-05-12,23,101000,Thursday,W,
Main Street ATM,2011-05-12,168,515700,Thursday,W,
Genesee Street ATM,2011-05-12,117,598500,Thursday,W,
Hollywood Aveneue ATM,2011-05-12,161,678800,Thursday,W,
Kingsley Street ATM,2011-05-12,57,201200,Thursday,W,
Georgia Street ATM,2011-05-13,22,53300,Friday,W,
Main Street ATM,2011-05-13,170,608700,Friday,W,
Genesee Street ATM,2011-05-13,87,382100,Friday,W,
Hollywood Aveneue ATM,2011-05-13,155,507200,Friday,W,
Kingsley Street ATM,2011-05-13,42,141900,Friday,W,
Georgia Street ATM,2011-05-14,15,65000,Saturday,H,
Main Street ATM,2011-05-14,180,682300,Saturday,H,
Genesee Street ATM,2011-05-14,95,362200,Saturday,H,
Hollywood Aveneue ATM,2011-05-14,156,632800,Saturday,H,
Kingsley Street ATM,2011-05-14,79,302700,Saturday,H,
Georgia Street ATM,2011-05-15,18,57300,Sunday,H,
Main Street ATM,2011-05-15,120,393900,Sunday,H,
Genesee Street ATM,2011-05-15,82,306700,Sunday,H,
Hollywood Aveneue ATM,2011-05-15,104,369300,Sunday,H,
Kingsley Street ATM,2011-05-15,51,174300,Sunday,H,
Georgia Street ATM,2011-05-16,31,77900,Monday,W,
Main Street ATM,2011-05-16,138,374900,Monday,W,
Genesee Street ATM,2011-05-16,95,357500,Monday,W,
Hollywood Aveneue ATM,2011-05-16,198,922700,Monday,W,
Kingsley Street ATM,2011-05-16,57,174000,Monday,W,
Georgia Street ATM,2011-05-17,23,66700,Tuesday,H,
Main Street ATM,2011-05-17,200,549400,Tuesday,H,
Genesee Street ATM,2011-05-17,90,331200,Tuesday,H,
Hollywood Aveneue ATM,2011-05-17,174,617000,Tuesday,H,
Kingsley Street ATM,2011-05-17,68,267500,Tuesday,H,
Georgia Street ATM,2011-05-18,28,131400,Wednesday,W,
Main Street ATM,2011-05-18,202,546100,Wednesday,W,
Genesee Street ATM,2011-05-18,115,534300,Wednesday,W,
Hollywood Aveneue ATM,2011-05-18,190,788600,Wednesday,W,
Kingsley Street ATM,2011-05-18,46,150200,Wednesday,W,
Georgia Street ATM,2011-05-19,39,162700,Thursday,W,
Main Street ATM,2011-05-19,244,659900,Thursday,W,
Genesee Street ATM,2011-05-19,99,462900,Thursday,W,
Hollywood Aveneue ATM,2011-05-19,170,681300,Thursday,W,
Kingsley Street ATM,2011-05-19,53,224400,Thursday,W,
Georgia Street ATM,2011-05-20,29,194700,Friday,W,
Main Street ATM,2011-05-20,182,505600,Friday,W,
Genesee Street ATM,2011-05-20,102,492000,Friday,W,
Hollywood Aveneue ATM,2011-05-20,197,854200,Friday,W,
Kingsley Street ATM,2011-05-20,88,376600,Friday,W,
Georgia Street ATM,2011-05-21,36,98300,Saturday,H,
Main Street ATM,2011-05-21,190,588700,Saturday,H,
Genesee Street ATM,2011-05-21,105,467700,Saturday,H,
Hollywood Aveneue ATM,2011-05-21,178,679800,Saturday,H,
Kingsley Street ATM,2011-05-21,59,160000,Saturday,H,
Georgia Street ATM,2011-05-22,35,86900,Sunday,H,
Main Street ATM,2011-05-22,127,347400,Sunday,H,
Genesee Street ATM,2011-05-22,86,303300,Sunday,H,
Hollywood Aveneue ATM,2011-05-22,119,401200,Sunday,H,
Kingsley Street ATM,2011-05-22,65,221000,Sunday,H,
Georgia Street ATM,2011-05-23,33,107000,Monday,W,
Main Street ATM,2011-05-23,263,880700,Monday,W,
Genesee Street ATM,2011-05-23,96,402400,Monday,W,
Hollywood Aveneue ATM,2011-05-23,176,668500,Monday,W,
Kingsley Street ATM,2011-05-23,57,201200,Monday,W,
Georgia Street ATM,2011-05-24,34,120800,Tuesday,W,
Main Street ATM,2011-05-24,241,528200,Tuesday,W,
Genesee Street ATM,2011-05-24,83,381900,Tuesday,W,
Hollywood Aveneue ATM,2011-05-24,148,606400,Tuesday,W,
Kingsley Street ATM,2011-05-24,70,274600,Tuesday,W,
Georgia Street ATM,2011-05-25,55,250400,Wednesday,W,
Main Street ATM,2011-05-25,166,547900,Wednesday,W,
Genesee Street ATM,2011-05-25,91,272300,Wednesday,W,
Hollywood Aveneue ATM,2011-05-25,162,619800,Wednesday,W,
Kingsley Street ATM,2011-05-25,74,309200,Wednesday,W,
Georgia Street ATM,2011-05-26,65,267400,Thursday,W,
Main Street ATM,2011-05-26,303,754400,Thursday,W,
Genesee Street ATM,2011-05-26,125,520300,Thursday,W,
Hollywood Aveneue ATM,2011-05-26,216,766500,Thursday,W,
Kingsley Street ATM,2011-05-26,113,532800,Thursday,W,
Georgia Street ATM,2011-05-27,39,161200,Friday,W,
Main Street ATM,2011-05-27,246,737800,Friday,W,
Genesee Street ATM,2011-05-27,98,282700,Friday,W,
Hollywood Aveneue ATM,2011-05-27,211,681300,Friday,W,
Kingsley Street ATM,2011-05-27,105,444700,Friday,W,
Georgia Street ATM,2011-05-28,29,147900,Saturday,H,
Main Street ATM,2011-05-28,167,521600,Saturday,H,
Genesee Street ATM,2011-05-28,115,406400,Saturday,H,
Hollywood Aveneue ATM,2011-05-28,139,503100,Saturday,H,
Kingsley Street ATM,2011-05-28,64,300400,Saturday,H,
Georgia Street ATM,2011-05-29,32,68700,Sunday,H,
Main Street ATM,2011-05-29,117,385100,Sunday,H,
Genesee Street ATM,2011-05-29,101,361800,Sunday,H,
Hollywood Aveneue ATM,2011-05-29,93,313400,Sunday,H,
Kingsley Street ATM,2011-05-29,37,170000,Sunday,H,
Georgia Street ATM,2011-05-30,33,136800,Monday,W,
Main Street ATM,2011-05-30,141,532000,Monday,W,
Genesee Street ATM,2011-05-30,119,483400,Monday,W,
Hollywood Aveneue ATM,2011-05-30,166,534200,Monday,W,
Kingsley Street ATM,2011-05-30,71,355100,Monday,W,
Georgia Street ATM,2011-05-31,34,133800,Tuesday,W,
Main Street ATM,2011-05-31,132,441800,Tuesday,W,
Genesee Street ATM,2011-05-31,128,500800,Tuesday,W,
Hollywood Aveneue ATM,2011-05-31,192,805700,Tuesday,W,
Kingsley Street ATM,2011-05-31,68,346600,Tuesday,W,
Georgia Street ATM,2011-06-01,34,136500,Wednesday,W,
Main Street ATM,2011-06-01,213,831200,Wednesday,W,
Genesee Street ATM,2011-06-01,149,729400,Wednesday,W,
Hollywood Aveneue ATM,2011-06-01,252,1260100,Wednesday,W,
Kingsley Street ATM,2011-06-01,78,261600,Wednesday,W,
Georgia Street ATM,2011-06-02,30,109600,Thursday,W,
Main Street ATM,2011-06-02,246,717900,Thursday,W,
Genesee Street ATM,2011-06-02,141,580200,Thursday,W,
Hollywood Aveneue ATM,2011-06-02,245,1152400,Thursday,W,
Kingsley Street ATM,2011-06-02,96,474600,Thursday,W,
Georgia Street ATM,2011-06-03,25,124700,Friday,W,
Main Street ATM,2011-06-03,222,742800,Friday,W,
Genesee Street ATM,2011-06-03,96,372100,Friday,W,
Hollywood Aveneue ATM,2011-06-03,198,822500,Friday,W,
Kingsley Street ATM,2011-06-03,84,423600,Friday,W,
Georgia Street ATM,2011-06-04,34,209300,Saturday,H,
Main Street ATM,2011-06-04,234,759200,Saturday,H,
Genesee Street ATM,2011-06-04,120,682500,Saturday,H,
Hollywood Aveneue ATM,2011-06-04,203,875500,Saturday,H,
Kingsley Street ATM,2011-06-04,127,554100,Saturday,H,
Georgia Street ATM,2011-06-05,29,82200,Sunday,H,
Main Street ATM,2011-06-05,60,168500,Sunday,H,
Genesee Street ATM,2011-06-05,116,436900,Sunday,H,
Hollywood Aveneue ATM,2011-06-05,132,455500,Sunday,H,
Kingsley Street ATM,2011-06-05,90,392000,Sunday,H,
Georgia Street ATM,2011-06-06,33,127700,Monday,W,
Main Street ATM,2011-06-06,129,405800,Monday,W,
Genesee Street ATM,2011-06-06,111,516500,Monday,W,
Hollywood Aveneue ATM,2011-06-06,172,648300,Monday,W,
Kingsley Street ATM,2011-06-06,71,264200,Monday,W,
Georgia Street ATM,2011-06-07,27,106000,Tuesday,W,
Main Street ATM,2011-06-07,179,739700,Tuesday,W,
Genesee Street ATM,2011-06-07,129,496900,Tuesday,W,
Hollywood Aveneue ATM,2011-06-07,200,887500,Tuesday,W,
Kingsley Street ATM,2011-06-07,86,381700,Tuesday,W,
Georgia Street ATM,2011-06-08,32,109100,Wednesday,W,
Main Street ATM,2011-06-08,222,868800,Wednesday,W,
Genesee Street ATM,2011-06-08,115,519100,Wednesday,W,
Hollywood Aveneue ATM,2011-06-08,202,884200,Wednesday,W,
Kingsley Street ATM,2011-06-08,92,399400,Wednesday,W,
Georgia Street ATM,2011-06-09,35,171700,Thursday,W,
Main Street ATM,2011-06-09,231,686000,Thursday,W,
Genesee Street ATM,2011-06-09,116,430100,Thursday,W,
Hollywood Aveneue ATM,2011-06-09,194,781200,Thursday,W,
Kingsley Street ATM,2011-06-09,51,182700,Thursday,W,
Georgia Street ATM,2011-06-10,39,121500,Friday,W,
Main Street ATM,2011-06-10,199,615800,Friday,W,
Genesee Street ATM,2011-06-10,106,460200,Friday,W,
Hollywood Aveneue ATM,2011-06-10,182,636800,Friday,W,
Kingsley Street ATM,2011-06-10,98,421000,Friday,W,
Georgia Street ATM,2011-06-11,14,56700,Saturday,H,
Main Street ATM,2011-06-11,201,635200,Saturday,H,
Genesee Street ATM,2011-06-11,119,479000,Saturday,H,
Hollywood Aveneue ATM,2011-06-11,187,727600,Saturday,H,
Kingsley Street ATM,2011-06-11,91,341500,Saturday,H,
Georgia Street ATM,2011-06-12,29,125500,Sunday,H,
Main Street ATM,2011-06-12,175,417900,Sunday,H,
Genesee Street ATM,2011-06-12,91,321000,Sunday,H,
Hollywood Aveneue ATM,2011-06-12,104,363100,Sunday,H,
Kingsley Street ATM,2011-06-12,80,254700,Sunday,H,
Georgia Street ATM,2011-06-13,42,174800,Monday,W,
Main Street ATM,2011-06-13,165,589700,Monday,W,
Genesee Street ATM,2011-06-13,88,368500,Monday,W,
Hollywood Aveneue ATM,2011-06-13,180,683900,Monday,W,
Kingsley Street ATM,2011-06-13,130,406000,Monday,W,
Georgia Street ATM,2011-06-14,20,72700,Tuesday,W,
Main Street ATM,2011-06-14,170,592600,Tuesday,W,
Genesee Street ATM,2011-06-14,86,288700,Tuesday,W,
Hollywood Aveneue ATM,2011-06-14,186,781200,Tuesday,W,
Kingsley Street ATM,2011-06-14,144,657200,Tuesday,W,
Georgia Street ATM,2011-06-15,23,89100,Wednesday,W,
Main Street ATM,2011-06-15,167,550600,Wednesday,W,
Genesee Street ATM,2011-06-15,110,457100,Wednesday,W,
Hollywood Aveneue ATM,2011-06-15,162,657800,Wednesday,W,
Kingsley Street ATM,2011-06-15,96,378600,Wednesday,W,
Georgia Street ATM,2011-06-16,34,144500,Thursday,W,
Main Street ATM,2011-06-16,199,499700,Thursday,W,
Genesee Street ATM,2011-06-16,102,440300,Thursday,W,
Hollywood Aveneue ATM,2011-06-16,181,843500,Thursday,W,
Kingsley Street ATM,2011-06-16,60,289900,Thursday,W,
Georgia Street ATM,2011-06-17,23,88200,Friday,W,
Main Street ATM,2011-06-17,128,486400,Friday,W,
Genesee Street ATM,2011-06-17,85,304100,Friday,W,
Hollywood Aveneue ATM,2011-06-17,137,463500,Friday,W,
Kingsley Street ATM,2011-06-17,55,259300,Friday,W,
Georgia Street ATM,2011-06-18,43,118500,Saturday,H,
Main Street ATM,2011-06-18,240,656800,Saturday,H,
Genesee Street ATM,2011-06-18,108,413800,Saturday,H,
Hollywood Aveneue ATM,2011-06-18,165,612900,Saturday,H,
Kingsley Street ATM,2011-06-18,81,248600,Saturday,H,
Georgia Street ATM,2011-06-19,45,138500,Sunday,H,
Main Street ATM,2011-06-19,235,474400,Sunday,H,
Genesee Street ATM,2011-06-19,89,273900,Sunday,H,
Hollywood Aveneue ATM,2011-06-19,93,254000,Sunday,H,
Kingsley Street ATM,2011-06-19,81,292100,Sunday,H,
Georgia Street ATM,2011-06-20,34,148700,Monday,W,
Main Street ATM,2011-06-20,206,674500,Monday,W,
Genesee Street ATM,2011-06-20,115,566400,Monday,W,
Hollywood Aveneue ATM,2011-06-20,154,646000,Monday,W,
Kingsley Street ATM,2011-06-20,79,370200,Monday,W,
Georgia Street ATM,2011-06-21,51,172000,Tuesday,W,
Main Street ATM,2011-06-21,129,303200,Tuesday,W,
Genesee Street ATM,2011-06-21,87,316900,Tuesday,W,
Hollywood Aveneue ATM,2011-06-21,140,510600,Tuesday,W,
Kingsley Street ATM,2011-06-21,80,401100,Tuesday,W,
Georgia Street ATM,2011-06-22,28,104800,Wednesday,W,
Main Street ATM,2011-06-22,153,454400,Wednesday,W,
Genesee Street ATM,2011-06-22,101,446400,Wednesday,W,
Hollywood Aveneue ATM,2011-06-22,179,706600,Wednesday,W,
Kingsley Street ATM,2011-06-22,74,351200,Wednesday,W,
Georgia Street ATM,2011-06-23,36,132500,Thursday,W,
Main Street ATM,2011-06-23,150,392300,Thursday,W,
Genesee Street ATM,2011-06-23,89,331700,Thursday,W,
